time_from_start,request_per_seconds_avg,cpu_perc,replicas_no
5390,100.99238475781956,54,19
5400,101.0,54,19
5410,100.99238475781956,54,19
5420,100.96954135095478,54,19
5430,100.9314767377287,54,19
5440,100.87820251299121,54,19
5450,100.80973490458729,54,19
5460,100.72609476841367,54,19
5470,100.6273075820661,52,19
5480,100.51340343707854,52,19
5490,100.38441702975689,52,19
5500,100.2403876506104,52,19
5510,100.0813591723832,52,19
5520,99.90738003669028,52,19
5530,99.71850323926176,54,19
5540,99.51478631379982,54,19
5550,99.2962913144534,54,19
5560,99.06308479691594,54,19
5570,98.81523779815178,54,19
5580,98.55282581475768,54,19
5590,98.27592877996585,51,19
5600,97.98463103929544,51,19
5610,97.67902132486009,51,19
5620,97.35919272833937,51,19
5630,97.025242672622,51,19
5640,96.67727288213004,51,19
5650,96.3153893518325,53,19
5660,95.93970231495834,53,19
5670,95.55032620941837,53,19
5680,95.14737964294635,53,19
5690,94.7309853569698,53,19
5700,94.30127018922194,53,19
5710,93.85836503510562,51,19
5720,93.40240480782131,51,19
5730,92.9335283972712,51,19
5740,92.45187862775208,51,19
5750,91.9576022144496,51,19
5760,91.45084971874738,51,19
5770,90.93177550236464,51,19
5780,90.4005376803361,51,19
5790,89.85729807284855,51,19
5800,89.3022221559489,51,19
5810,88.73547901113861,51,19
5820,88.15724127386972,51,19
5830,87.56768508095853,50,19
5840,86.96699001693256,50,19
5850,86.35533905932738,50,19
5860,85.73291852294987,50,19
5870,85.09991800312494,50,19
5880,84.4565303179429,50,19
5890,83.80295144952537,50,19
5900,83.13938048432698,50,19
5910,82.46601955249189,50,19
5920,81.78307376628294,50,19
5930,81.09075115760241,50,19
5940,80.38926261462366,50,19
5950,79.67882181755232,48,19
5960,78.95964517353733,48,19
5970,78.23195175075134,48,19
5980,77.49596321166024,48,19
5990,76.75190374550272,48,19
6000,76.00000000000001,48,19
6010,75.24048101231688,43,19
6020,74.47357813929453,43,19
6030,73.69952498697734,43,19
6040,72.91855733945388,43,19
6050,72.130913087035,43,19
6060,71.33683215379004,43,19
6070,70.53655642446368,49,17
6080,69.73032967079561,49,17
6090,68.91839747726503,49,17
6100,68.10100716628342,49,17
6110,67.27840772285782,49,17
6120,66.45084971874738,49,17
6130,65.61858523613685,47,17
6140,64.78186779084999,47,17
6150,63.94095225512603,47,17
6160,63.09609477998338,47,17
6170,62.24755271719326,47,17
6180,61.39558454088798,47,17
6190,60.540449768827266,42,17
6200,59.68240888334651,42,17
6210,58.821723252011545,42,17
6220,57.95865504800328,42,17
6230,57.0934671702574,42,17
6240,56.22642316338271,42,17
6250,55.35778713738291,46,15
6260,54.48782368720627,46,15
6270,53.61679781214722,46,15
6280,52.74497483512508,46,15
6290,51.87262032186421,46,15
6300,51.0,46,15
6310,50.127379678135796,44,15
6320,49.25502516487493,44,15
6330,48.383202187852795,44,15
6340,47.512176312793734,44,15
6350,46.6422128626171,44,15
6360,45.7735768366173,44,15
6370,44.90653282974261,41,14
6380,44.04134495199672,41,14
6390,43.17827674798846,41,14
6400,42.317591116653496,41,14
6410,41.45955023117274,41,14
6420,40.60441545911202,41,14
6430,39.75244728280675,45,12
6440,38.903905220016625,45,12
6450,38.05904774487398,45,12
6460,37.21813220915003,45,12
6470,36.38141476386316,45,12
6480,35.549150281252636,45,12
6490,34.72159227714218,41,12
6500,33.89899283371659,41,12
6510,33.08160252273502,41,12
6520,32.269670329204395,41,12
6530,31.463443575536324,41,12
6540,30.663167846210005,41,12
6550,29.869086912965052,42,10
6560,29.08144266054616,42,10
6570,28.300475013022623,42,10
6580,27.526421860705433,42,10
6590,26.75951898768313,42,10
6600,25.99999999999999,42,10
6610,25.248096254497288,38,9
6620,24.50403678833976,38,9
6630,23.768048249248622,38,9
6640,23.040354826462643,38,9
6650,22.321178182447692,38,9
6660,21.61073738537635,38,9
6670,20.9092488423976,47,7
6680,20.216926233717068,47,7
6690,19.53398044750812,47,7
6700,18.86061951567303,47,7
6710,18.19704855047464,47,7
6720,17.543469682057108,47,7
6730,16.9000819968751,34,7
6740,16.267081477050134,34,7
6750,15.644660940672631,34,7
6760,15.033009983067451,34,7
6770,14.432314919041493,34,7
6780,13.842758726130313,34,7
6790,13.264520988861399,44,5
6800,12.697777844051103,44,5
6810,12.142701927151464,44,5
6820,11.599462319663921,44,5
6830,11.068224497635384,44,5
6840,10.549150281252658,44,5
6850,10.042397785550392,34,5
6860,9.548121372247905,34,5
6870,9.06647160272879,34,5
6880,8.597595192178701,34,5
6890,8.141634964894386,34,5
6900,7.698729810778054,34,5
6910,7.269014643030203,32,4
